questionID,assessmentName,questionNum,question,totalMarks,weight,co_id,section_id
1,Mid,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,1
2,Mid,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,1
3,Mid,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,1,1
4,Mid,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,30,2,1
5,Mid,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,1,1
6,Mid,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,30,1,1
7,Final,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,40,1,1
8,Final,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",15,40,1,1
9,Final,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",15,40,2,1
10,Final,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",50,40,3,1
11,Lab,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,4,1
12,Mid,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,2
13,Mid,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,2
14,Mid,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,1,2
15,Mid,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,30,2,2
16,Mid,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,1,2
17,Mid,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,30,1,2
18,Final,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",20,40,1,2
19,Final,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",15,40,1,2
20,Final,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",15,40,2,2
21,Final,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",50,40,3,2
22,Lab,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",30,30,4,2
23,Mid,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,3
24,Mid,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. In commodo tortor quis nisi viverra consectetur. Nulla sed libero mollis, scelerisque ipsum ut, viverra justo. Vivamus.",25,30,1,3
