evaluationID,obtainedMarks,assessment_id,registration_id
1,23,1,1
2,13,2,1
3,14,3,1
4,19,4,1
5,0,5,1
6,19,6,1
7,3,7,1
8,14,8,1
9,8,9,1
10,35,10,1
11,15,11,1
12,2,1,2
13,14,2,2
14,29,3,2
15,0,4,2
16,10,5,2
17,18,6,2
18,6,7,2
19,0,8,2
20,11,9,2
21,48,10,2
22,12,11,2
23,8,23,3
24,14,24,3
25,29,25,3
26,18,26,3
27,30,27,3
28,18,28,3
29,4,29,3
30,10,30,3
31,14,31,3
32,11,32,3
33,3,33,3
34,4,23,4
35,12,24,4
36,6,25,4
37,12,26,4
38,13,27,4
39,6,28,4
40,9,29,4
41,1,30,4
42,4,31,4
43,35,32,4
44,13,33,4
45,8,1,5
46,18,2,5
47,11,3,5
48,2,4,5
49,28,5,5
50,20,6,5
51,11,7,5
52,3,8,5
53,3,9,5
54,22,10,5
55,1,11,5
56,2,23,6
57,13,24,6
58,16,25,6
59,8,26,6
60,26,27,6
61,20,28,6
62,14,29,6
63,10,30,6
64,8,31,6
65,49,32,6
66,14,33,6
67,24,1,7
68,12,2,7
69,13,3,7
70,12,4,7
71,29,5,7
72,12,6,7
73,14,7,7
74,13,8,7
75,7,9,7
76,18,10,7
77,11,11,7
78,21,23,8
79,16,24,8
80,30,25,8
81,6,26,8
82,22,27,8
83,15,28,8
84,1,29,8
85,10,30,8
86,9,31,8
87,16,32,8
88,20,33,8
89,16,12,9
90,17,13,9
91,16,14,9
92,10,15,9
93,6,16,9
94,15,17,9
95,11,18,9
96,15,19,9
97,14,20,9
98,26,21,9
99,23,22,9
100,7,12,10
101,14,13,10
102,23,14,10
103,20,15,10
104,21,16,10
105,2,17,10
106,5,18,10
107,7,19,10
108,8,20,10
109,36,21,10
110,20,22,10
111,3,12,11
112,18,13,11
113,27,14,11
114,0,15,11
115,27,16,11
116,0,17,11
117,3,18,11
118,14,19,11
119,7,20,11
120,11,21,11
121,12,22,11
122,8,23,12
123,4,24,12
124,21,25,12
125,7,26,12
126,19,27,12
127,18,28,12
128,11,29,12
129,12,30,12
130,4,31,12
131,42,32,12
132,25,33,12
133,1,23,13
134,17,24,13
135,13,25,13
136,11,26,13
137,1,27,13
138,7,28,13
139,17,29,13
140,0,30,13
141,12,31,13
142,13,32,13
143,25,33,13
144,18,23,14
145,17,24,14
146,10,25,14
147,7,26,14
148,11,27,14
149,13,28,14
150,0,29,14
151,8,30,14
152,10,31,14
153,3,32,14
154,9,33,14
155,11,12,15
156,18,13,15
157,19,14,15
158,20,15,15
159,28,16,15
160,11,17,15
161,18,18,15
162,8,19,15
163,1,20,15
