"ploID","ploNum","details","program_id"
"1","PLO1","Knowledge","1"
"2","PLO2","Requirement Analysis","1"
"3","PLO3","Requirement Analysis","1"
"4","PLO4","Design","1"
"5","PLO5","Problem Solving","1"
"6","PLO6","Implementation","1"
"7","PLO7","Experiment and Analysis","1"
"8","PLO8","Community Engagement and Engineering","1"
"9","PLO9","Teamwork","1"
"10","PLO10","Communication","1"
"11","PLO11","Self-Motivated","1"
"12","PLO12","Ethics","1"
"13","PLO1","Knowledge","2"
"14","PLO2","Requirement Analysis","2"
"15","PLO3","Requirement Analysis","2"
"16","PLO4","Design","2"
"17","PLO5","Problem Solving","2"
"18","PLO6","Implementation","2"
"19","PLO7","Experiment and Analysis","2"
"20","PLO8","Community Engagement and Engineering","2"
"21","PLO9","Teamwork","2"
"22","PLO10","Communication","2"
"23","PLO11","Self-Motivated","2"
"24","PLO12","Ethics","2"
"25","PLO1","Knowledge","3"
"26","PLO2","Requirement Analysis","3"
"27","PLO3","Requirement Analysis","3"
"28","PLO4","Design","3"
"29","PLO5","Problem Solving","3"
"30","PLO6","Implementation","3"
"31","PLO7","Experiment and Analysis","3"
"32","PLO8","Community Engagement and Engineering","3"
"33","PLO9","Teamwork","3"
"34","PLO10","Communication","3"
"35","PLO11","Self-Motivated","3"
"36","PLO12","Ethics","3"
"37","PLO1","Knowledge","4"
"38","PLO2","Requirement Analysis","4"
"39","PLO3","Requirement Analysis","4"
"40","PLO4","Design","4"
"41","PLO5","Problem Solving","4"
"42","PLO6","Implementation","4"
"43","PLO7","Experiment and Analysis","4"
"44","PLO8","Community Engagement and Engineering","4"
"45","PLO9","Teamwork","4"
"46","PLO10","Communication","4"
"47","PLO11","Self-Motivated","4"
"48","PLO12","Ethics","4"
"49","PLO1","Knowledge","5"
"50","PLO2","Requirement Analysis","5"
"51","PLO3","Requirement Analysis","5"
"52","PLO4","Design","5"
"53","PLO5","Problem Solving","5"
"54","PLO6","Implementation","5"
"55","PLO7","Experiment and Analysis","5"
"56","PLO8","Community Engagement and Engineering","5"
"57","PLO9","Teamwork","5"
"58","PLO10","Communication","5"
"59","PLO11","Self-Motivated","5"
"60","PLO12","Ethics","5"
"61","PLO1","Knowledge","6"
"62","PLO2","Requirement Analysis","6"
"63","PLO3","Requirement Analysis","6"
"64","PLO4","Design","6"
"65","PLO5","Problem Solving","6"
"66","PLO6","Implementation","6"
"67","PLO7","Experiment and Analysis","6"
"68","PLO8","Community Engagement and Engineering","6"
"69","PLO9","Teamwork","6"
"70","PLO10","Communication","6"
"71","PLO11","Self-Motivated","6"
"72","PLO12","Ethics","6"
